fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
05/03/2020,69,1,52,1,0.014492754,0.019230769
13/03/2020,57,2,46,1,0.035087719,0.02173913
19/03/2020,67,3,67,3,0.044776119,0.044776119
24/03/2020,66,1,60,1,0.015151515,0.016666667
26/03/2020,54,1,50,1,0.018518519,0.02
27/03/2020,32,4,30,4,0.125,0.133333333
28/03/2020,5,1,3,1,0.2,0.333333333
29/03/2020,16,5,16,6,0.3125,0.375
30/03/2020,49,3,46,2,0.06122449,0.043478261
31/03/2020,26,4,24,4,0.153846154,0.166666667
01/04/2020,20,1,17,1,0.05,0.058823529
02/04/2020,42,6,35,3,0.142857143,0.085714286
03/04/2020,31,4,24,4,0.129032258,0.166666667
04/04/2020,69,14,67,14,0.202898551,0.208955224
05/04/2020,2337,536,2152,490,0.229353872,0.227695167
06/04/2020,944,218,806,180,0.230932203,0.223325062
07/04/2020,1283,174,1065,151,0.135619641,0.141784038
08/04/2020,1141,212,990,181,0.185801928,0.182828283
09/04/2020,572,109,495,91,0.190559441,0.183838384
10/04/2020,693,166,595,146,0.23953824,0.245378151
11/04/2020,236,77,222,71,0.326271186,0.31981982
12/04/2020,169,75,135,60,0.443786982,0.444444444
13/04/2020,911,277,732,232,0.304061471,0.316939891
14/04/2020,878,244,724,195,0.277904328,0.269337017
15/04/2020,878,284,761,253,0.323462415,0.332457293
16/04/2020,1207,333,1050,269,0.275890638,0.256190476
17/04/2020,1235,339,1062,288,0.274493927,0.271186441
18/04/2020,466,92,427,85,0.197424893,0.199063232
19/04/2020,251,133,225,114,0.529880478,0.506666667
20/04/2020,1110,425,932,359,0.382882883,0.385193133
21/04/2020,1524,462,1293,363,0.303149606,0.280742459
22/04/2020,1780,512,1546,434,0.287640449,0.28072445
23/04/2020,1375,480,1162,396,0.349090909,0.340791738
24/04/2020,1553,588,1320,485,0.378622022,0.367424242
25/04/2020,494,239,445,218,0.483805668,0.48988764
26/04/2020,410,170,346,146,0.414634146,0.421965318
27/04/2020,1632,649,1406,548,0.397671569,0.389758179
28/04/2020,1696,560,1398,462,0.330188679,0.330472103
29/04/2020,1916,713,1600,602,0.372129436,0.37625
30/04/2020,1890,592,1592,501,0.313227513,0.314698492
01/05/2020,741,240,602,190,0.32388664,0.315614618
02/05/2020,649,263,577,227,0.405238829,0.393414211
03/05/2020,556,222,500,197,0.399280576,0.394
04/05/2020,2023,753,1657,622,0.372219476,0.375377188
05/05/2020,1599,586,1370,508,0.366479049,0.37080292
06/05/2020,2176,694,1784,592,0.318933824,0.331838565
07/05/2020,2237,705,1842,585,0.315154224,0.317589577
08/05/2020,2449,921,2000,751,0.376071866,0.3755
09/05/2020,798,351,684,305,0.439849624,0.445906433
